,delay
157,1.038197408
158,1.30173331
159,1.272476251
160,1.301682226
161,1.290848802
162,1.290839877
163,1.040229149
164,1.30171422
165,1.039028464
166,1.270562873
167,1.290792717
168,1.290796031
169,1.290948813
170,1.349627655
171,1.395370254
172,1.291068858
173,1.291033456
174,1.290927052
175,1.272743043
176,1.03936572
177,1.084874176
178,1.393933963
179,1.301893799
180,1.350398317
181,1.262638954
182,1.355709393
183,1.035431041
184,1.270755368
185,1.291118984
186,1.302119131
187,1.302088091
188,1.2728104
189,1.039137527
190,1.273335388
191,1.759973602
192,1.548122705
193,1.830559737
194,1.780580807
195,1.752720859
196,1.762860698
197,1.529061601
198,1.792381238
199,1.275039735
200,1.781521014
201,1.52999527
202,1.781929344
203,1.782311252
204,1.782280235
205,1.280957616
206,1.533859986
207,1.529358504
208,1.000183833
209,1.281093635
210,1.762003
211,1.75395358
212,1.762071732
213,1.531678898
214,1.281609302
215,1.763232788
216,1.000227232
217,1.782418103
218,1.754039628
219,1.275266488
220,1.530579205
221,1.762685314
222,1.282407473
223,1.275719221
224,1.783046906
225,1.793932403
226,1.754675414
227,1.763930118
228,1.76396091
229,1.754732932
230,1.282691003
231,1.000878686
232,1.783343837
233,1.755014422
234,1.282551893
235,1.755081651
236,1.282386675
237,1.794527368
238,1.75516064
239,1.783614657
240,1.282372334
241,1.282282579
242,1.765365515
243,1.532141291
244,1.794621195
245,1.54803478
246,1.578083757
247,1.283151755
248,1.283053297
249,1.534142247
250,1.531889063
251,1.794676939
252,1.764567839
253,1.794830529
254,1.783857334
255,1.533742206
256,1.765106461
257,1.283705239
258,1.784246488
259,1.531946816
260,1.766024792
261,1.536159413
262,1.528960981
263,1.795282545
264,1.002883979
265,1.283542865
266,1.766094076
267,1.531495226
268,1.277824032
269,1.887829289
270,1.283272644
271,1.532835568
272,1.795503664
273,1.848858233
274,1.532180128
275,1.784414391
276,1.756116959
277,1.529042039
278,1.784427654
279,1.534028323
280,1.756250216
281,1.531675904
282,1.784542089
283,1.796835538
284,1.79680222
285,1.52631442
286,1.791543207
287,1.788865968
288,1.769662642
289,1.536414514
290,1.769886852
291,1.78924014
292,1.007806462
293,1.299050254
294,1.549253057
295,1.771520992
296,1.945730725
297,1.548488918
298,1.55048242
299,1.548587281
300,1.299473356
301,1.811442231
302,1.299291209
303,1.811705929
304,1.550676259
305,1.774323914
306,1.295996274
307,1.774326686
308,1.552063943
309,1.813671933
310,1.774418299
311,1.301619542
312,1.77439384
313,1.813827395
314,1.552346981
315,1.301628241
316,1.540457689
317,1.596963528
318,1.301939548
319,1.550570666
320,1.301624261
321,1.803011006
322,1.302431542
323,1.813819658
324,1.540152883
325,1.804089306
326,1.804067213
327,1.784856809
328,1.297458261
329,1.803942276
330,1.783767737
331,1.815023577
332,1.784958059
333,1.815101377
334,1.946953412
335,1.815138781
336,1.807142009
337,1.553604142
338,1.815219372
339,1.804299533
340,1.80416623
341,1.303080615
342,1.815275347
343,1.787231972
344,1.783966605
345,1.541859913
346,1.297610936
347,1.807277852
348,1.786017726
349,1.804392855
350,1.784047778
351,1.804229838
352,1.804428042
353,1.553778501
354,1.80443378
355,1.776011867
356,1.815410549
357,1.303293197
358,1.776028395
359,1.552764603
360,1.552762855
361,1.776062924
362,1.303873247
363,1.804397709
364,1.552768788
365,1.021807614
366,1.303729941
367,1.804580806
368,1.804535321
369,1.804540317
370,1.303410184
371,1.303320344
372,1.81557415
373,1.776062444
