,delay
662,957.906247
663,911.138441
664,916.880849
665,911.057396
666,909.450894
667,911.85128
668,957.276926
669,920.746009
670,955.436426
671,912.453328
672,914.810186
673,914.036269
674,957.062038
675,912.243016
676,958.968963
677,924.523936
678,969.857486
679,922.784936
680,968.921148
681,970.01533
682,970.053736
683,922.665168
684,968.940748
685,965.423436
686,925.20309
687,969.860394
688,930.947911
689,931.381443
690,925.062513
691,923.010843
692,965.485683
693,965.390172
694,922.920448
695,923.036071
696,925.475348
697,925.456907
698,975.236364
699,930.14075
700,975.134211
701,970.485502
702,927.52089
703,977.148534
704,935.768394
705,972.979995
706,936.653235
707,936.736905
708,928.544385
709,932.560053
710,935.127034
711,975.037725
712,932.978308
713,944.514422
714,936.828531
715,980.029563
716,987.576976
717,980.510621
718,979.914246
719,946.532672
720,984.215516
721,939.463092
722,946.997301
723,939.231412
724,947.491336
725,943.12485
726,948.569241
727,940.49257
728,941.651365
729,948.45508
730,942.840449
731,943.427082
732,992.333927
733,946.686571
734,989.094739
735,990.35295
736,988.555646
737,943.003454
738,944.858453
739,943.708531
740,993.295302
741,954.727058
742,1006.578116
743,957.586725
744,957.88565
745,1002.6677399999999
746,1004.580595
747,1003.1709
748,1011.4201650000001
749,1010.1610270000001
750,1010.890331
751,962.056903
752,1011.502124
753,964.765166
754,967.205182
755,1011.5012139999999
756,968.132992
757,979.195885
758,1020.993676
759,1049.3273199999999
760,1002.214899
761,1010.711122
762,1002.480121
763,1047.272957
764,1047.620959
765,1052.1665600000001
766,1002.384672
767,1004.098048
768,1002.0429930000001
769,1009.7808559999999
770,1052.24848
771,1002.9630149999999
772,1048.296541
773,1004.05713
774,1052.339507
775,1048.593305
776,1045.702837
777,1003.940294
778,1052.397327
779,1052.4424800000002
780,1002.2499929999999
781,1004.513158
782,1003.1737679999999
783,1051.830047
784,1051.737834
785,1010.4660729999999
786,1049.718613
787,1047.6027960000001
788,1048.053044
789,1051.431084
790,1004.243037
791,1049.808086
792,1068.964465
793,1025.2103299999999
794,1071.8417840000002
795,1022.819785
796,1031.0976970000002
797,1022.5673660000001
798,1069.57472
799,1031.484903
800,1026.47258
801,1032.6916390000001
802,1025.884688
803,1034.7407719999999
804,1026.2636320000001
805,1069.872145
806,1027.999026
807,1026.210101
808,1035.154356
809,1034.190862
810,1073.859532
811,1027.366157
812,1034.116018
813,1075.964874
814,1028.551408
815,1076.623925
816,1073.8065809999998
817,1026.477067
818,1026.7423529999999
819,1028.713513
820,1027.221182
821,1026.874958
822,1028.497577
823,1035.227232
824,1029.62011
825,1026.556389
826,1075.470924
827,1029.43548
828,1026.6950610000001
829,1070.073721
830,1028.0471200000002
831,1035.922916
832,1037.6444330000002
833,1038.041352
834,1029.0542110000001
835,1078.9738479999999
836,1078.365894
837,1029.369706
838,1074.680255
839,1042.8771160000001
840,1039.441321
841,1041.575286
842,1041.477125
843,1041.191084
844,1047.19086
845,1081.950608
846,1041.492828
847,1048.638853
848,1083.8042930000001
849,1043.464817
850,1091.149354
851,1047.667605
852,1047.8901110000002
853,1089.938482
854,1046.653354
855,1096.832703
856,1091.989318
857,1050.565464
858,1051.867411
859,1052.019158
860,1052.598706
861,1053.67341
862,1054.137396
863,1052.778078
864,1053.98656
865,1097.3425809999999
866,1098.127415
867,1056.2723890000002
868,1054.18451
869,1061.940592
870,1054.592257
871,1056.4052749999998
872,1056.416932
873,1055.76062
874,1101.614332
875,1066.053939
876,1071.964237
877,1070.8716060000002
878,1071.127447
879,1075.6601050000002
880,1082.038417
881,1083.604431
882,1087.5585999999998
883,1129.073456
884,1086.887837
885,1086.236006
886,1094.2326600000001
887,1094.995167
888,1129.431492
889,1136.276629
890,1094.6465739999999
891,1129.180792
892,1086.232778
893,1094.500265
894,1095.155381
895,1088.881915
896,1136.543355
897,1129.980516
898,1129.514272
899,1094.5433090000001
900,1089.715774
901,1086.518141
902,1095.332275
903,1131.8044419999999
904,1132.175288
905,1088.527759
906,1095.491448
907,1088.448068
908,1100.651736
909,1105.1340069999999
910,1096.864057
911,1104.781792
912,1145.488503
913,1100.6986610000001
914,1107.721248
915,1145.559943
916,1152.869849
917,1104.034976
918,1103.9350889999998
919,1152.637132
920,1107.5821990000002
921,1108.61593
922,1153.6746229999999
923,1113.876454
924,1086.089348
925,1115.195069
926,1108.354071
927,1110.142979
928,1108.607808
929,1153.291533
930,1120.348599
931,1121.145277
932,1116.997815
933,1113.589281
934,1116.3604890000001
935,1122.894148
936,1117.776293
937,1116.883415
938,1165.14552
939,1118.5739939999999
940,1116.982652
941,1116.885635
942,1130.3337040000001
943,1167.052341
944,1130.220848
945,1123.417617
946,1121.90777
947,1121.726589
948,1121.7535830000002
949,1170.080827
950,1121.9175699999998
951,1164.980648
952,1129.766512
953,1122.2521279999999
954,1169.181783
955,1122.650777
956,1130.805877
957,1121.991078
958,1121.974775
959,1122.787118
960,1122.093757
961,1123.907676
962,1122.1760510000001
963,1124.327041
964,1129.992831
965,1122.4800690000002
966,1122.949741
967,1122.430724
968,1172.446908
969,1123.179315
970,1166.138304
971,1165.646
972,1123.9709149999999
973,1125.12689
974,1170.957042
975,1131.126807
976,1122.6570199999999
977,1166.76461
978,1124.570602
979,1131.293847
980,1125.746674
981,1172.570224
982,1176.308844
983,1175.958866
984,1136.3835589999999
985,1177.630525
986,1129.432139
987,1127.662152
988,1129.471291
989,1142.084729
990,1186.870421
991,1143.637773
992,1147.993509
993,1189.494256
994,1155.975692
